Retailer,Retailer ID,Invoice Date,Region,State,City,Product ID,Product,Price per Unit,Sales ID,Units Sold,Total Sales,Operating Profit,Sales Method
Walmart,1185732,4/26/2020,Northeast,New York,New York,BN8384,Women's Apparel,$50.00 ,ADI2020426118573200RG9779,330,"1,650",$462 ,Outlet
Foot Locker,1185732,8/6/2021,Southeast,South Carolina,Charleston,HW1780,Men's Street Footwear,$62.00 ,ADI202186118573294EQ3180,326,"2,021","$1,152 ",Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,RS2106,Women's Athletic Footwear,$25.00 ,ADI2021818118573212LK2046,325,"8,125","$3,250 ",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,JH5876,Women's Athletic Footwear,$25.00 ,ADI20211118118573240XC2073,325,"8,125","$3,250 ",In-store
West Gear,1185732,1/11/2021,Midwest,Missouri,St. Louis,FB0122,Women's Athletic Footwear,$20.00 ,ADI2021111118573215LF2796,325,"6,500","$2,600 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,SA9397,Men's Athletic Footwear,$25.00 ,ADI2021411118573240TU7130,325,"8,125","$2,844 ",In-store
West Gear,1185732,4/11/2021,West,Utah,Salt Lake City,QW5183,Women's Street Footwear,$15.00 ,ADI2021411118573296FB4338,325,"4,875","$1,706 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,QQ9611,Women's Athletic Footwear,$10.00 ,ADI2021912118573294WX7319,325,"3,250","$1,300 ",In-store
West Gear,1185732,9/12/2021,West,Utah,Salt Lake City,SC1645,Men's Apparel,$20.00 ,ADI2021912118573209HC3657,325,"6,500","$2,275 ",In-store
Amazon,1185732,3/9/2021,Midwest,Ohio,Columbus,OZ6718,Women's Athletic Footwear,$25.00 ,ADI202139118573204MX0453,325,"8,125","$3,250 ",Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,ZC5587,Women's Athletic Footwear,$25.00 ,ADI2021218118573245EV8598,325,"8,125","$3,250 ",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,VS4116,Men's Athletic Footwear,$20.00 ,ADI2021319119783154JU6823,325,"6,500","$2,275 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,HK3776,Women's Athletic Footwear,$15.00 ,ADI2021919119783172SW9422,325,"4,875","$1,950 ",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,QN3059,Men's Apparel,$25.00 ,ADI2021919119783172KR9210,325,"8,125","$2,844 ",Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,UV1281,Women's Street Footwear,$15.00 ,ADI2021221119783130WT8174,325,"4,875","$1,950 ",Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,PO0202,Women's Apparel,$20.00 ,ADI2021214119783112OE2136,325,"6,500","$2,275 ",Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,VD7333,Men's Athletic Footwear,$20.00 ,ADI20211014119783184NT6874,325,"6,500","$2,275 ",Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,AV9653,Women's Street Footwear,$20.00 ,ADI2021316118573234IT3878,325,"6,500","$2,600 ",In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,EU0664,Men's Street Footwear,$58.00 ,ADI2020316118573203SH5945,325,"1,885","$1,150 ",Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,OR4261,Women's Athletic Footwear,$40.00 ,ADI2020331118573267FO0992,324,"1,296",$518 ,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,OP9524,Men's Street Footwear,$63.00 ,ADI2020524118573279YU2975,323,"2,035","$1,140 ",Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,TH8636,Women's Street Footwear,$32.00 ,ADI2020121118573276VT2479,323,"1,034",$393 ,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,YZ4094,Women's Apparel,$36.00 ,ADI2020130118573272WV6292,323,"1,163",$314 ,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,XT2461,Men's Athletic Footwear,$33.00 ,ADI2020819119783198SK3245,323,"1,066",$448 ,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,FB9051,Women's Apparel,$53.00 ,ADI202052118573246RG4714,322,"1,707",$478 ,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,QP2109,Men's Street Footwear,$40.00 ,ADI2021211112829969XR0311,322,"1,288",$425 ,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,RC4538,Women's Street Footwear,$33.00 ,ADI2021918119783152BG7651,322,"1,063",$446 ,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,AG3520,Women's Street Footwear,$30.00 ,ADI2021417119783127GM4083,322,966,$483 ,Outlet
Sports Direct,1197831,9/8/2021,South,Alabama,Birmingham,XX3591,Women's Street Footwear,$31.00 ,ADI202198119783115UU6593,322,998,$559 ,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,GB5816,Women's Street Footwear,$25.00 ,ADI20211120119783186LG0316,320,"8,000","$3,200 ",Online
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,WC7564,Men's Athletic Footwear,$36.00 ,ADI202012118573257AF7862,320,"1,152",$403 ,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,QW2057,Women's Apparel,$44.00 ,ADI202033118573215SP6387,320,"1,408",$408 ,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,YL4766,Men's Street Footwear,$59.00 ,ADI2020310118573256CE8117,319,"1,882","$1,129 ",Online
Walmart,1197831,8/26/2020,South,Texas,Houston,QE4848,Women's Street Footwear,$37.00 ,ADI2020826119783160KM2797,319,"1,180",$531 ,Online
Foot Locker,1185732,8/12/2020,Southeast,Florida,Miami,YM6815,Men's Street Footwear,$43.00 ,ADI2020812118573282CL7798,319,"1,372",$782 ,Online
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,UA7297,Men's Athletic Footwear,$41.00 ,ADI2020311118573254YS0099,318,"1,304",$482 ,Outlet
Foot Locker,1185732,2/6/2020,Northeast,New York,New York,HW1766,Men's Street Footwear,$54.00 ,ADI202026118573249SV9265,317,"1,712","$1,096 ",Online
Foot Locker,1185732,1/8/2020,Northeast,New York,New York,MA3391,Men's Athletic Footwear,$39.00 ,ADI202018118573290AL0578,315,"1,229",$405 ,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,PE3214,Men's Athletic Footwear,$35.00 ,ADI2020126118573290BD6596,315,"1,103",$397 ,Outlet
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,LD0484,Men's Athletic Footwear,$35.00 ,ADI202021118573218XY2160,315,"1,103",$364 ,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,GZ7700,Women's Street Footwear,$28.00 ,ADI202022118573231TR6328,315,882,$335 ,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,QN8016,Women's Street Footwear,$36.00 ,ADI2020421118573296QH0216,315,"1,134",$442 ,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,GH8234,Men's Apparel,$44.00 ,ADI2020423118573246BI1054,315,"1,386",$513 ,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,NO8735,Men's Street Footwear,$24.00 ,ADI2020812119783145AV6639,315,756,$295 ,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,WR2138,Women's Street Footwear,$36.00 ,ADI202097119783112NW3113,315,"1,134",$431 ,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,XT4148,Men's Street Footwear,$39.00 ,ADI2021525118983383DR5877,315,"1,229",$565 ,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,KC9984,Women's Street Footwear,$27.00 ,ADI2020127118573298VO9322,314,848,$348 ,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,RJ3386,Women's Street Footwear,$37.00 ,ADI2020318118573258PK9070,314,"1,162",$430 ,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,SK1890,Women's Street Footwear,$39.00 ,ADI2021423119783167ZD8598,314,"1,225",$576 ,Outlet
Foot Locker,1185732,1/7/2020,Northeast,New York,New York,ZT0259,Men's Street Footwear,$46.00 ,ADI202017118573259SF4493,313,"1,440",$893 ,Online
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,DV5840,Men's Street Footwear,$55.00 ,ADI202034118573200JB0248,313,"1,722","$1,050 ",Online
Walmart,1185732,5/3/2020,Northeast,New York,New York,DS6476,Men's Street Footwear,$62.00 ,ADI202053118573240HS2712,312,"1,934","$1,238 ",Online
Foot Locker,1185732,2/7/2021,Southeast,Georgia,Atlanta,IL1390,Men's Street Footwear,$38.00 ,ADI202127118573221VF5059,312,"1,186",$700 ,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,EA1719,Men's Athletic Footwear,$40.00 ,ADI2020428118573280DN9729,312,"1,248",$449 ,Outlet
Foot Locker,1185732,7/5/2021,Southeast,South Carolina,Charleston,IQ1256,Men's Street Footwear,$63.00 ,ADI202175118573273NN8071,311,"1,959","$1,156 ",Online
Walmart,1185732,5/4/2020,Northeast,New York,New York,EY4318,Men's Athletic Footwear,$43.00 ,ADI202054118573291OI3947,310,"1,333",$467 ,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,TU9922,Men's Athletic Footwear,$53.00 ,ADI2020317118573250XA6358,308,"1,632",$669 ,Online
Sports Direct,1185732,8/3/2021,Southeast,North Carolina,Charlotte,PG3900,Men's Street Footwear,$61.00 ,ADI202183118573228LH0161,308,"1,879",$996 ,Online
Foot Locker,1185732,1/5/2020,Northeast,New York,New York,VS0489,Men's Apparel,$43.00 ,ADI202015118573255GY3037,306,"1,316",$487 ,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,ZJ6445,Men's Apparel,$43.00 ,ADI2020123118573277YO6384,306,"1,316",$461 ,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,VH0647,Women's Athletic Footwear,$34.00 ,ADI2020422118573265FP3393,306,"1,040",$406 ,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,DW9138,Women's Athletic Footwear,$41.00 ,ADI202056118573295LY8073,306,"1,255",$502 ,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,CO9859,Men's Street Footwear,$20.00 ,ADI2020731119783128ZL8183,306,612,$257 ,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,KX6689,Men's Street Footwear,$23.00 ,ADI202086119783118RZ6015,306,704,$260 ,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,QA3323,Men's Athletic Footwear,$29.00 ,ADI202087119783113BX3210,306,887,$364 ,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,OZ9517,Men's Athletic Footwear,$31.00 ,ADI20201021119783171LI0110,306,949,$379 ,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,LE6347,Women's Apparel,$41.00 ,ADI20201031119783164BV3008,306,"1,255",$690 ,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,EV2342,Women's Apparel,$60.00 ,ADI2021111112829984EQ3291,306,"1,836",$477 ,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,IZ8002,Men's Athletic Footwear,$46.00 ,ADI202126112829987YD2435,306,"1,408",$282 ,Outlet
Kohl's,1189833,5/1/2021,West,California,Los Angeles,DD3522,Men's Street Footwear,$36.00 ,ADI202151118983307VM0155,306,"1,102",$496 ,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,MP5566,Women's Apparel,$37.00 ,ADI2021414119783102QJ3060,306,"1,132",$668 ,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,LF8897,Men's Street Footwear,$62.00 ,ADI2021716112829982PT4514,306,"1,897",$816 ,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,QA1442,Women's Apparel,$64.00 ,ADI202039118573298FJ8463,305,"1,952",$761 ,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,MY4704,Men's Street Footwear,$27.00 ,ADI2020830119783169KH1115,305,824,$305 ,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,JO2415,Men's Athletic Footwear,$33.00 ,ADI2020831119783193LQ5522,305,"1,007",$382 ,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,RC3463,Women's Street Footwear,$39.00 ,ADI202188119783152TB9365,305,"1,190",$511 ,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,WP5031,Men's Street Footwear,$60.00 ,ADI2020917118573226AA9799,304,"1,824","$1,040 ",Online
Walmart,1197831,8/29/2020,South,Texas,Houston,MR4556,Women's Apparel,$36.00 ,ADI2020829119783194WD4727,302,"1,087",$565 ,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,EX9180,Men's Street Footwear,$45.00 ,ADI2021118112829946IY5625,302,"1,359",$544 ,Outlet
Sports Direct,1197831,4/1/2021,South,Tennessee,Knoxville,CN6674,Men's Apparel,$30.00 ,ADI202141119783179RP4270,300,"9,000","$3,150 ",Outlet
